Year,NitrateFlux_kg,NitrateFlux_mgL,NitrateFluxShreyaPredicted_kg
1998,13019308.7524276,364.306796903258,9166869.867155075
1999,11794308.76700542,351.719379022337,9609143.50161171
2000,1854884.236143208,203.876087646941,0
2001,7349601.320064949,325.008894166556,10788395.13507843
2002,1458566.005513008,212.249048754105,2260433.782829285
2003,824654.4460329892,209.955246574588,847575.0126895905
2004,2992303.942174221,269.440241024723,6254724.427373886
2005,4384321.982796696,280.364809144093,8213639.536384583
2006,1073285.699061476,212.031964566002,2331149.336969376
2007,6739311.524701433,296.215268705932,6186940.174585342
2008,7990495.927185453,331.317453122233,8594332.750089645
2009,6951732.202160931,368.256877202459,8512496.122947693
2010,11053230.07671619,442.017910022329,11311608.82172203
2011,6438896.541779796,476.94785919355,7099599.440860748
2012,3917198.833181592,463.738188076593,3159568.09715271
2013,3231502.20636598,431.162947196551,1089263.565803528
2014,3735463.237586011,472.645844770897,2509463.618783951
2015,9458412.305851728,452.518241344101,8127128.456510544
2016,10361574.37711212,510.607445936719,10135553.27258873
2017,9034617.57334796,420.586352007386,9515649.78159523
2018,5432089.081249347,290.594710120593,5293551.808055878
2019,25754902.62400445,484.6947543031,23266205.85717583
2020,9603028.018726965,368.651718625001,8664773.45211792
2021,5420851.235198182,253.446498684328,7182741.970523834
2022,3764196.861430036,183.441568673159,4930568.223686218
