Year,Climate_precip_m,Climate_Tmin_C,Climate_Tmax_C,Climate_Tmean_C,Management_irrigation_m,Management_FertilizerUse_kg,LandCover_m2_all cult,LandCover_m2_developed,LandCover_m2_grassPastureHay,spatial_scale,source
1990,0.8853738943197874,6.879144172079766,19.468642647642312,13.173893409861039,NA,NA,NA,NA,NA,basin,assembled
1991,0.6781929650851923,6.977679661162924,19.61749932051741,13.297589490840167,NA,NA,NA,NA,NA,basin,assembled
1992,1.0449571533481834,6.5145968642298735,18.112186207235723,12.313391535732798,NA,NA,NA,NA,NA,basin,assembled
1993,1.277495366408481,5.654160819455441,16.622118357558836,11.138139588507139,NA,NA,NA,NA,NA,basin,assembled
1994,0.709479532623339,6.245017997311439,18.76152721984334,12.50327260857739,NA,NA,NA,NA,NA,basin,assembled
1995,0.9542801493630875,5.9870164826673316,18.084004654597784,12.035510568632558,NA,NA,NA,NA,NA,basin,assembled
1996,0.9281548059534064,5.301395093838747,17.480036745250597,11.390715919544672,NA,NA,NA,NA,NA,basin,assembled
1997,0.8300184747702074,5.984340054611595,17.750293512312357,11.867316783461977,NA,NA,NA,NA,NA,basin,assembled
1998,1.0622930240544464,7.845966155561947,19.0385249542653,13.442245554913622,NA,NA,NA,NA,NA,basin,assembled
1999,0.9258679299287289,6.963940410669815,19.24319027719232,13.103565343931066,NA,NA,NA,NA,NA,basin,assembled
2000,0.6813005892165934,6.442035681796066,19.164119562159115,12.80307762197759,NA,NA,NA,NA,NA,basin,assembled
2001,1.0143261036841262,6.931629896880743,19.090773574478952,13.011201735679848,NA,NA,NA,NA,NA,basin,assembled
2002,0.6670275726175153,6.337316785554148,19.231802084029653,12.7845594347919,NA,NA,NA,NA,NA,basin,assembled
2003,0.6700054004914869,6.0196438789551445,18.659821146908264,12.339732512931704,NA,NA,NA,NA,NA,basin,assembled
2004,0.8984551349729736,6.359244338948043,18.26537411031688,12.312309224632461,NA,NA,NA,NA,NA,basin,assembled
2005,0.9659020345215402,6.621158160177179,18.75796258278737,12.689560371482276,NA,NA,NA,NA,NA,basin,assembled
2006,0.7385042540745264,6.7011858350509534,19.811973750080558,13.256579792565756,0.18394042074179218,67035456.1856,5749677248,2466131584,13574690304,basin,assembled
2007,1.0179805617149913,6.4611378053519015,18.36571450962555,12.413426157488725,0.13642150780173373,72744681.5424,5524860544,2733773504,13777727488,basin,assembled
2008,0.9611536035590722,4.82995484648354,16.8741622436625,10.852058545073021,0.10482137358203623,78242046.21,6890721300,2322719100,13256611200,basin,assembled
2009,0.9863485105658562,5.198891688853806,17.24317901699389,11.221035352923847,0.07782261547574863,87230848.14,7064692200,2298526200,13154306400,basin,assembled
2010,0.9510801690242132,6.1949499351443915,18.00342859625554,12.099189265699966,0.12104133872944452,83307393.45,6327026100,2200608900,13253127300,basin,assembled
2011,0.8281988115536387,6.568727617533179,20.468457307378102,13.51859246245564,0.14253028866474238,92429456.76,6873233400,2316731400,12783962700,basin,assembled
2012,0.5871087285029248,8.265041245152938,22.870359477848307,15.567700361500624,0.22235689010339768,89348284.53,6743846700,2322866700,12973861800,basin,assembled
2013,0.8477514790576303,5.972583622501447,19.422687132315584,12.697635377408515,0.1327308266261791,98355488.31,9959453100,2297675700,9938193300,basin,assembled
2014,0.7532097913415746,4.811025080965577,17.45900712053335,11.135016100749464,0.12963843251384136,86777349.57,7586203500,2372400000,12240840600,basin,assembled
2015,1.040955787187204,6.578165380174179,19.04414625157931,12.811155815876745,0.09358345891578185,93051597.42,7520168700,2351817900,11781016200,basin,assembled
2016,1.0222891799353186,7.462588479651212,19.931730588334695,13.697159533992954,0.12807995862203428,102101785.74,7888686300,2350741500,11720824200,basin,assembled
2017,0.8881939519439209,6.943132369010372,19.59051725144919,13.26682481022978,0.13367257956417358,98781165.81,7978477500,2353216500,11609181000,basin,assembled
2018,0.8411382751890092,5.990591739191118,18.284906329488024,12.13774903433957,0.13570275007522728,100390242.87,8182298700,2346380100,11428940700,basin,assembled
2019,1.2506068987228491,5.979864581295294,17.33246386936921,11.656164225332251,0.06943759933606304,104753587.05,8545204800,2194314300,10534788900,basin,assembled
2020,0.8709730333830665,6.351125192159959,18.62742107230148,12.48927313223072,0.10418694750371504,107302622.58,8767879200,2194474500,10553083200,basin,assembled
2021,0.9013044028174062,6.953280370599741,19.21152351385743,13.082401942228586,0.1127175774091612,107302622.58,8767879200,2194474500,10553083200,basin,assembled
2022,0.826171273286257,5.32715148212523,18.60167533037254,11.964413406248886,0.13665584562299957,107203038.03,8682120000,2328738300,10858767300,basin,assembled
2023,0.7584963687550856,6.649998756783069,19.873718183784547,13.261858470283808,0.13219157351037106,103447062.81,8545105800,2331279900,11023911900,basin,assembled
