scenario_tag,maca_model,gcm_name
rcp45_early,BCC-CSM1-1,bcc_csm1_1
rcp45_early,CanESM2,canesm2
rcp45_early,CCSM4,ccsm4
rcp45_early,CNRM-CM5,cnrm_cm5
rcp45_early,GFDL-ESM2M,gfdl_esm2m
rcp45_late,BCC-CSM1-1,bcc_csm1_1
rcp45_late,CanESM2,canesm2
rcp45_late,CCSM4,ccsm4
rcp45_late,CNRM-CM5,cnrm_cm5
rcp45_late,GFDL-ESM2M,gfdl_esm2m
rcp45_mid,BCC-CSM1-1,bcc_csm1_1
rcp45_mid,CanESM2,canesm2
rcp45_mid,CCSM4,ccsm4
rcp45_mid,CNRM-CM5,cnrm_cm5
rcp45_mid,GFDL-ESM2M,gfdl_esm2m
rcp85_early,BCC-CSM1-1,bcc_csm1_1
rcp85_early,CanESM2,canesm2
rcp85_early,CCSM4,ccsm4
rcp85_early,CNRM-CM5,cnrm_cm5
rcp85_early,GFDL-ESM2M,gfdl_esm2m
rcp85_late,BCC-CSM1-1,bcc_csm1_1
rcp85_late,CanESM2,canesm2
rcp85_late,CCSM4,ccsm4
rcp85_late,CNRM-CM5,cnrm_cm5
rcp85_late,GFDL-ESM2M,gfdl_esm2m
rcp85_mid,BCC-CSM1-1,bcc_csm1_1
rcp85_mid,CanESM2,canesm2
rcp85_mid,CCSM4,ccsm4
rcp85_mid,CNRM-CM5,cnrm_cm5
rcp85_mid,GFDL-ESM2M,gfdl_esm2m
